Book,Author,Genres,Avg_Rating,Num_Ratings
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,"['Nonfiction', 'Religion', 'History', 'Cults', 'Audiobook', 'Biography', 'Psychology']","4,04","42,203"
Eye of the Needle,Ken Follett,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'War']","4,2","149,561"
"84, Charing Cross Road",Helene Hanff,"['Nonfiction', 'Books About Books', 'Memoir', 'Classics', 'Biography', 'Biography Memoir', 'British Literature']","4,16","74,546"
Dead Babies,Martin Amis,"['Fiction', 'Thriller', 'Contemporary', 'Novels', 'British Literature', 'Mystery', '20th Century']","3,37","5,91"
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,"['Nonfiction', 'Memoir', 'Christian', 'Biography', 'Inspirational', 'Book Club', 'Faith']","4,19","88,542"
An American Tragedy,Theodore Dreiser,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'American', 'Novels', 'Banned Books']","3,96","35,887"
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"['Nonfiction', 'Self Help', 'Philosophy', 'Productivity', 'Psychology', 'Personal Development', 'Audiobook']","4,25","51,809"
Save Yourself,Kelly Braffet,"['Fiction', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Mystery', 'Dark', 'Suspense']","3,46","3,703"
The Pact,Jodi Picoult,"['Fiction', 'Romance', 'Contemporary', 'Chick Lit', 'Drama', 'Mystery', 'Adult Fiction']","4,02","297,803"
Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,Lauren Graham,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Humor', 'Autobiography', 'Biography Memoir']","3,95","121,931"
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"['Writing', 'Nonfiction', 'Memoir', 'Self Help', 'Essays', 'Reference', 'Biography']","4,23","95,639"
The Grand Design,Stephen Hawking,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Astronomy', 'Popular Science', 'Audiobook']","4,06","71,757"
The Cement Garden,Ian McEwan,"['Fiction', 'Contemporary', 'British Literature', 'Novels', 'Literary Fiction', 'Literature', '20th Century']","3,55","29,957"
Salt Sugar Fat: How the Food Giants Hooked Us,Michael Moss,"['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'History']",4,"30,249"
Unwifeable: A Memoir,Mandy Stadtmiller,"['Memoir', 'Nonfiction', 'Womens', 'Biography', 'Humor', 'Biography Memoir', 'Autobiography']","3,52","2,892"
Big Sur,Jack Kerouac,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Travel', '20th Century']","3,84","33,128"
The Pale-Faced Lie,David Crow,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography']","4,29","21,312"
The Death of Bunny Munro,Nick Cave,"['Fiction', 'Contemporary', 'Novels', 'Thriller', 'Music', 'Literature', 'Audiobook']","3,44","15,38"
The Stone Diaries,Carol Shields,"['Fiction', 'Canada', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Novels', 'Classics']","3,88","39,076"
Kicker,R. Grey Hoover,['Historical Fiction'],"4,1",189
Hoodwinked: Uncovering Our Fundamental Superstitions,Larry Gottlieb,['Nonfiction'],"4,33",365
Skipping Christmas,John Grisham,"['Fiction', 'Christmas', 'Humor', 'Holiday', 'Contemporary', 'Adult', 'Audiobook']","3,54","70,96"
The Largesse of the Sea Maiden: Stories,Denis Johnson,"['Short Stories', 'Fiction', 'Literary Fiction', 'Literature', 'American', 'Audiobook', 'Contemporary']","3,93","7,835"
Orange Is the New Black,Piper Kerman,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Crime']","3,72","196,32"
The Great Alone,Kristin Hannah,"['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Romance', 'Adult', 'Adult Fiction']","4,39","641,75"
The Swiss Family Robinson,Johann David Wyss,"['Classics', 'Fiction', 'Adventure', 'Childrens', 'Young Adult', 'Historical Fiction', 'Literature']","3,91","103,795"
What Dreams May Come,Richard Matheson,"['Fiction', 'Fantasy', 'Romance', 'Horror', 'Science Fiction', 'Death', 'Classics']","3,95","13,121"
Sons and Lovers,D.H. Lawrence,"['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Romance', '20th Century']","3,64","51,591"
Invisible,Paul Auster,"['Fiction', 'Contemporary', 'American', 'Literature', 'Novels', 'Literary Fiction', 'The United States Of America']","3,73","20,208"
Memoirs of Hadrian,Marguerite Yourcenar,"['Historical Fiction', 'Fiction', 'Classics', 'France', 'Historical', 'Literature', 'Philosophy']","4,23","26,411"
The Girl Who Loved Tom Gordon,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Audiobook']","3,62","152,886"
The Bachman Books,Richard Bachman,"['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Science Fiction', 'Fantasy', 'Suspense']","4,14","71,391"
I'll Give You the Sun,Jandy Nelson,"['Young Adult', 'Contemporary', 'LGBT', 'Romance', 'Fiction', 'Realistic Fiction', 'Queer']","4,16","320,109"
My Life on the Road,Gloria Steinem,"['Nonfiction', 'Feminism', 'Memoir', 'Biography', 'Audiobook', 'Womens', 'Biography Memoir']","4,06","34,186"
The Accidental Tourist,Anne Tyler,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature']","3,9","102,993"
The Dharma Bums,Jack Kerouac,"['Fiction', 'Classics', 'Literature', 'Novels', 'Travel', 'American', 'Philosophy']","3,93","91,07"
"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern",James E. Talmage,"['Religion', 'Lds', 'Nonfiction', 'Church', 'Spirituality', 'Biography', 'Inspirational']","4,62","22,574"
The Lusiads,Luís de Camões,"['Poetry', 'Classics', 'Portuguese Literature', 'Portugal', 'Fiction', 'Literature', 'Epic']",4,"8,184"
The Woods,Harlan Coben,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']","4,05","93,793"
The Forty Rules of Love,Elif Shafak,"['Fiction', 'Historical Fiction', 'Novels', 'Romance', 'Philosophy', 'Spirituality', 'Turkish Literature']","4,13","164,349"
The Casual Vacancy,J.K. Rowling,"['Fiction', 'Contemporary', 'Mystery', 'Adult', 'Adult Fiction', 'Drama', 'Unfinished']","3,3","323,341"
Filth,Irvine Welsh,"['Fiction', 'Crime', 'Contemporary', 'Mystery', 'Novels', 'Thriller', 'Scotland']","3,8","28,625"
Wives and Daughters,Elizabeth Gaskell,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', '19th Century', 'Victorian', 'Literature']","4,12","46,996"
Fingersmith,Sarah Waters,"['Historical Fiction', 'Fiction', 'LGBT', 'Historical', 'Romance', 'Mystery', 'Queer']","4,02","100,256"
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Denise Kiernan,"['Nonfiction', 'History', 'World War II', 'Science', 'Historical', 'War', 'American History']","3,71","28,868"
How to Read Literature Like a Professor,Thomas C. Foster,"['Nonfiction', 'School', 'Books About Books', 'Writing', 'Education', 'Literature', 'Read For School']","3,63","28,142"
The Incredible Journey,Sheila Burnford,"['Fiction', 'Classics', 'Animals', 'Childrens', 'Adventure', 'Young Adult', 'Dogs']","4,16","50,881"
The Lost City of the Monkey God,Douglas Preston,"['Nonfiction', 'History', 'Adventure', 'Travel', 'Science', 'Audiobook', 'Archaeology']","3,92","52,558"
The Complete Anne of Green Gables 8-Book Box Set,L.M. Montgomery,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Romance', 'Middle Grade']","4,44","104,065"
Being Mortal: Medicine and What Matters in the End,Atul Gawande,"['Nonfiction', 'Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Death']","4,48","174,058"
If Life Is a Bowl of Cherries What Am I Doing in the Pits?,Erma Bombeck,"['Humor', 'Nonfiction', 'Comedy', 'Memoir', 'Essays', 'Biography', 'Adult']","4,03","13,937"
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Philosophy', 'Personal Development', 'Denmark']","3,76","96,184"
The Informers,Bret Easton Ellis,"['Fiction', 'Short Stories', 'Contemporary', 'American', 'Literature', 'Thriller', 'Novels']","3,39","18,392"
Sadako and the Thousand Paper Cranes,Eleanor Coerr,"['Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Japan', 'Classics']","4,12","25,401"
The Complete Novels,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Classic Literature']","4,57","32,294"
The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,"['Nonfiction', 'Memoir', 'Art', 'Essays', 'Biography', 'Psychology', 'New York']","3,92","24,931"
Desert Solitaire,Edward Abbey,"['Nonfiction', 'Nature', 'Memoir', 'Travel', 'Environment', 'Adventure', 'Biography']","4,19","47,077"
Cold Comfort Farm,Stella Gibbons,"['Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', '20th Century']","3,89","48,368"
Joyland,Stephen King,"['Horror', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook']","3,93","147,293"
Go Tell It on the Mountain,James Baldwin,"['Fiction', 'Classics', 'African American', 'Race', 'Literature', 'Novels', 'Religion']","4,03","63,211"
The Persecution of Mildred Dunlap,Paulette Mahurin,"['Historical Fiction', 'Fiction', 'LGBT', 'Historical', 'Amazon', 'Queer', 'Social Issues']","3,89",918
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Memoir', 'Personal Development', 'Audiobook']","3,88","86,482"
What We Talk About When We Talk About Love,Raymond Carver,"['Short Stories', 'Fiction', 'Classics', 'American', 'Literature', 'Contemporary', 'Literary Fiction']","4,07","60,65"
Title: Audition,Ry? Murakami,"['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Mystery', 'Contemporary']","3,52","10,767"
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemo?lu,"['Economics', 'Nonfiction', 'Politics', 'History', 'Business', 'Political Science', 'Sociology']","4,08","45,708"
Ragtime,E.L. Doctorow,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Literature', 'Historical', 'American']","3,89","42,274"
Awoken,Timothy Miller,"['Fantasy', 'Fiction', 'Young Adult']","4,15",148
Letters From Your Soul,Victor Noble,"['Spirituality', 'Poetry', 'Nonfiction']","4,32",63
Out,Natsuo Kirino,"['Fiction', 'Japan', 'Thriller', 'Mystery', 'Japanese Literature', 'Crime', 'Horror']","3,95","35,144"
The Lover,Marguerite Duras,"['Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Literature', 'Historical Fiction']","3,73","49,718"
The Law,Bastiat Frederic,"['Politics', 'Philosophy', 'Economics', 'Nonfiction', 'Law', 'Classics', 'History']","4,35","12,415"
"The Witches: Salem, 1692",Stacy Schiff,"['History', 'Nonfiction', 'Historical', 'Witches', 'Audiobook', 'American History', 'Religion']","3,24","20,662"
False Step,Victoria Helen Stone,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Adult']","3,61","16,824"
Understanding Power: The Indispensable Chomsky,Noam Chomsky,"['Politics', 'Nonfiction', 'Philosophy', 'History', 'Economics', 'Political Science', 'Sociology']","4,42","8,347"
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"['Nonfiction', 'Self Help', 'Buddhism', 'Spirituality', 'Philosophy', 'Psychology', 'Religion']","4,28","51,278"
Frankie the Ferret,Kimberley Paterson,"['Picture Books', 'Fiction', 'Drama', 'Contemporary', 'Animals']","4,33",391
Swan Song,Robert McCammon,"['Horror', 'Fiction', 'Post Apocalyptic', 'Fantasy', 'Science Fiction', 'Dystopia', 'Apocalyptic']","4,29","63,979"
The Twilight Saga,Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']","3,92","116,944"
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"['Business', 'Nonfiction', 'Psychology', 'Leadership', 'Self Help', 'Communication', 'Design']","3,98","89,309"
Almost Transparent Blue,Ry? Murakami,"['Fiction', 'Japan', 'Japanese Literature', 'Contemporary', 'Horror', 'Asia', 'Literature']","3,29","10,258"
Arcadia,Tom Stoppard,"['Plays', 'Drama', 'Fiction', 'Classics', 'Theatre', 'Historical Fiction', 'School']","4,14","22,46"
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"['Nonfiction', 'True Crime', 'Audiobook', 'Crime', 'Mystery', 'History', 'Memoir']","4,12","218,912"
Angels,Denis Johnson,"['Fiction', 'Novels', 'Literature', 'Literary Fiction', 'Crime', 'American', 'Contemporary']","3,95","4,631"
A Girl Named Zippy,Haven Kimmel,"['Memoir', 'Nonfiction', 'Humor', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club']","3,8","36,216"
The Chronicle of Sapta Sindhu,Aporva Kala,"['War', 'Iran', 'India', 'Romance', 'Pakistan', 'Love', 'Mythology']","3,52","2,231"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"['Nonfiction', 'Business', 'True Crime', 'Audiobook', 'Science', 'Crime', 'Biography']","4,41","243,003"
Eugene Onegin,Alexander Pushkin,"['Classics', 'Poetry', 'Russia', 'Fiction', 'Russian Literature', 'Literature', '19th Century']","4,1","60,936"
The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse (The Narcissism Series Book 1),Debbie Mirza,"['Psychology', 'Self Help', 'Nonfiction', 'Mental Health', 'Relationships', 'Abuse', 'Personal Development']","4,31","1,683"
Pro Truth: A Practical Plan for Putting Truth Back Into Politics,Gleb Tsipursky,"['Politics', 'Nonfiction', 'Psychology', 'Philosophy', 'Journalism', 'Political Science', 'Sociology']","4,45",110
Lab Girl,Hope Jahren,"['Nonfiction', 'Science', 'Memoir', 'Biography', 'Nature', 'Audiobook', 'Biography Memoir']","3,98","64,604"
Scrappy Little Nobody,Anna Kendrick,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Humor', 'Autobiography', 'Biography Memoir']","3,86","92,364"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kond?,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Japan', 'Productivity']","3,87","346,489"
Love is the Answer God is the Cure,Aimee Cabo Nikolov,"['Contemporary', 'Nonfiction', 'Adult', 'True Story', 'Abuse', 'Drama', 'Book Club']","4,29","3,841"
Crime,Irvine Welsh,"['Fiction', 'Crime', 'Thriller', 'Mystery', 'Scotland', 'Novels', 'Contemporary']","3,59","4,881"
Understanding Comics: The Invisible Art,Scott McCloud,"['Comics', 'Nonfiction', 'Graphic Novels', 'Art', 'Design', 'Graphic Novels Comics', 'Writing']",4,"119,045"
The Life and Times of the Thunderbolt Kid,Bill Bryson,"['Nonfiction', 'Memoir', 'Humor', 'Biography', 'Autobiography', 'Audiobook', 'History']","3,93","64,076"
A Beautiful Mind,Sylvia Nasar,"['Biography', 'Nonfiction', 'Psychology', 'Science', 'Mathematics', 'History', 'Biography Memoir']","4,13","130,902"
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Unfinished']","3,93","191,235"
The Bacchae,Euripides,"['Classics', 'Plays', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'Poetry']","3,9","20,229"
The Bridges of Madison County,Robert James Waller,"['Fiction', 'Romance', 'Classics', 'Chick Lit', 'Contemporary', 'Novels', 'Adult']","3,67","92,03"
Kon-Tiki,Thor Heyerdahl,"['Nonfiction', 'Travel', 'Adventure', 'History', 'Classics', 'Biography', 'Memoir']","4,15","22,27"
In a Sunburned Country,Bill Bryson,"['Travel', 'Nonfiction', 'Humor', 'Australia', 'Memoir', 'Audiobook', 'History']","4,07","106,835"
"Absalom, Absalom!",William Faulkner,"['Classics', 'Fiction', 'Literature', 'American', 'Novels', 'Historical Fiction', 'Southern Gothic']","3,97","42,82"
Girl Wash your Face,Rachel Hollis,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Memoir', 'Christian', 'Adult']","3,6","239,444"
Two Treatises of Government,John Locke,"['Philosophy', 'Politics', 'Nonfiction', 'Classics', 'History', 'Political Science', 'Law']","3,87","17,798"
Mister Pip,Lloyd Jones,"['Fiction', 'Historical Fiction', 'War', 'Young Adult', 'Contemporary', 'Literary Fiction', 'Historical']","3,67","22,222"
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,Bruce D. Perry,"['Psychology', 'Nonfiction', 'Mental Health', 'Social Work', 'Science', 'Parenting', 'Education']","4,58","27,73"
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Philosophy', 'Religion', 'Atheism']","4,09","38,278"
Villette,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', '19th Century', 'Victorian', 'Literature', 'Gothic']","3,77","69,415"
Mother Night,Kurt Vonnegut Jr.,"['Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Humor']","4,22","89,319"
Astrophysics for People in a Hurry,Neil deGrasse Tyson,"['Science', 'Nonfiction', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History']","4,09","162,49"
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"['Nonfiction', 'Philosophy', 'Business', 'Economics', 'Psychology', 'Science', 'Finance']","4,1","48,067"
The Bedroom Secrets of the Master Chefs,Irvine Welsh,"['Fiction', 'Contemporary', 'Scotland', 'Novels', 'Thriller', 'Drama', 'Adult']","3,52","6,606"
A Gentleman in Moscow,Amor Towles,"['Historical Fiction', 'Fiction', 'Historical', 'Russia', 'Audiobook', 'Book Club', 'Literary Fiction']","4,34","479,707"
Housekeeping,Marilynne Robinson,"['Fiction', 'Classics', 'Literary Fiction', 'Novels', 'Literature', 'Contemporary', 'American']","3,81","50,587"
Inspired by The Holy Ghost,Aimee Cabo Nikolov,"['How To', 'Book Club', 'Education', 'Nonfiction', 'Inspirational']","4,29",435
Midnight Sun [2008 Draft],Stephenie Meyer,"['Young Adult', 'Fantasy', 'Vampires', 'Romance', 'Paranormal', 'Fiction', 'Paranormal Romance']","4,01","148,469"
Horns,Joe Hill,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Supernatural', 'Paranormal']","3,93","110,549"
When You Are Engulfed in Flames,David Sedaris,"['Humor', 'Nonfiction', 'Memoir', 'Essays', 'Short Stories', 'Comedy', 'Audiobook']","4,07","203,789"
Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,"['History', 'Nonfiction', 'Philosophy', 'Politics', 'Holocaust', 'Psychology', 'War']","4,2","24,21"
The Wave,Todd Strasser,"['Young Adult', 'Fiction', 'School', 'Classics', 'Historical Fiction', 'Read For School', 'Contemporary']","3,6","30,049"
The Age of Reason,Thomas Paine,"['Philosophy', 'Nonfiction', 'Classics', 'Religion', 'History', 'Politics', 'Atheism']","4,12","8,677"
"Bless Me, Ultima",Rudolfo Anaya,"['Fiction', 'Classics', 'Magical Realism', 'Young Adult', 'School', 'Historical Fiction', 'Banned Books']","3,81","32,877"
A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,James Bowen,"['Nonfiction', 'Animals', 'Biography', 'Cats', 'Memoir', 'Autobiography', 'Biography Memoir']","3,97","53,102"
Wir Kinder vom Bahnhof Zoo,Christiane Vera Felscherinow,"['Nonfiction', 'Biography', 'German Literature', 'Classics', 'Memoir', 'Germany', 'Contemporary']","4,31","51,48"
Timeline,Michael Crichton,"['Science Fiction', 'Fiction', 'Thriller', 'Time Travel', 'Historical Fiction', 'Fantasy', 'Adventure']","3,86","201,398"
Firestarter,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Fantasy', 'Paranormal', 'Suspense']","3,91","218,067"
"We Got Zombies On The Lawn Again, Ma",Donnie Smith,"['Zombies', 'Horror', 'Fiction', 'Fantasy', 'Humor']","3,44",112
The Sorrows of Young Mike,John Zelazny,"['Contemporary', 'Fiction', 'Novels', 'Literature']","3,63",70
The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,"['Psychology', 'Gaming', 'Nonfiction', 'Self Help', 'Sports', 'Leadership', 'Games']","4,36",214
Goblinheart,Brett Axel,"['Picture Books', 'LGBT', 'Childrens', 'Fantasy', 'Transgender', 'Fiction', 'Gender']","4,43",181
Purple Hibiscus,Chimamanda Ngozi Adichie,"['Fiction', 'Africa', 'Historical Fiction', 'Nigeria', 'Contemporary', 'Literary Fiction', 'African Literature']","4,18","107,839"
The Legendary Wolf,Ammar Habib,"['Thriller', 'Action', 'Westerns', 'Military Fiction', 'Fiction', 'Espionage', 'Mystery']","4,28","5,196"
The Power of a Praying Wife,Stormie Omartian,"['Christian', 'Marriage', 'Nonfiction', 'Faith', 'Prayer', 'Spirituality', 'Christian Living']","4,33","56,742"
"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",Bret Witter,"['History', 'Nonfiction', 'Art', 'World War II', 'War', 'Historical', 'Audiobook']","3,79","49,403"
The Silent Patient,Alex Michaelides,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']","4,18","1,530,910"
An Astronaut's Guide to Life on Earth,Chris Hadfield,"['Nonfiction', 'Science', 'Biography', 'Space', 'Memoir', 'Autobiography', 'Biography Memoir']","4,16","56,266"
The Onion Field,Joseph Wambaugh,"['True Crime', 'Nonfiction', 'Crime', 'Mystery', 'History', 'Thriller', 'Classics']","4,11","20,787"
Journey to the End of the Night,Louis-Ferdinand Céline,"['Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Novels', 'Philosophy']","4,2","39,06"
Under the Tuscan Sun: At Home in Italy,Frances Mayes,"['Travel', 'Nonfiction', 'Memoir', 'Italy', 'Biography', 'Romance', 'Chick Lit']","3,77","324,211"
The Woman Warrior,Maxine Hong Kingston,"['Memoir', 'Nonfiction', 'Feminism', 'Classics', 'China', 'Biography', 'School']","3,73","30,096"
When You Reach Me,Rebecca Stead,"['Young Adult', 'Middle Grade', 'Fiction', 'Science Fiction', 'Mystery', 'Time Travel', 'Fantasy']","4,08","106,64"
Big Little Lies,Liane Moriarty,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Thriller', 'Audiobook', 'Mystery Thriller']","4,3","941,061"
4?3?2?1,Paul Auster,"['Fiction', 'Historical Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'American', 'Literature']","3,95","28,016"
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,"['Religion', 'Nonfiction', 'Philosophy', 'Atheism', 'Politics', 'Science', 'History']","3,89","40,813"
The Robber Bride,Margaret Atwood,"['Fiction', 'Canada', 'Contemporary', 'Literary Fiction', 'Feminism', 'Literature', 'Novels']","3,83","45,228"
Hunger Makes Me a Modern Girl,Carrie Brownstein,"['Nonfiction', 'Memoir', 'Music', 'Feminism', 'Biography', 'Audiobook', 'Autobiography']","3,83","33,81"
Resilience: Adapt and Plan for the New Abnormal of the Covid-19 Coronavirus Pandemic,Gleb Tsipursky,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Management', 'Medicine']","4,52",89
Pedro Páramo,Juan Rulfo,"['Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature']","4,06","61,123"
Ben-Hur: A Tale of the Christ,Lew Wallace,"['Classics', 'Historical Fiction', 'Fiction', 'Christian', 'Historical', 'Christian Fiction', 'Religion']","4,03","35,105"
"And the Band Played On: Politics, People, and the AIDS Epidemic",Randy Shilts,"['Nonfiction', 'History', 'LGBT', 'Politics', 'Science', 'Medicine', 'Queer']","4,37","26,771"
We Were Liars,E. Lockhart,"['Young Adult', 'Mystery', 'Contemporary', 'Fiction', 'Romance', 'Thriller', 'Mystery Thriller']","3,7","1,012,983"
Rage of Angels,Sidney Sheldon,"['Fiction', 'Thriller', 'Mystery', 'Romance', 'Suspense', 'Crime', 'Mystery Thriller']","3,96","37,842"
Turtles All the Way Down,John Green,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction']","3,9","515,635"
A Connecticut Yankee in King Arthur's Court,Mark Twain,"['Classics', 'Fiction', 'Fantasy', 'Historical Fiction', 'Humor', 'Time Travel', 'Literature']","3,77","101,127"
Narcopolis,Jeet Thayil,"['Fiction', 'India', 'Indian Literature', 'Historical Fiction', 'Asia', 'Novels', 'Literary Fiction']","3,43","7,328"
Man and His Symbols,C.G. Jung,"['Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics']","4,18","26,672"
The Feminine Mystique,Betty Friedan,"['Feminism', 'Nonfiction', 'Classics', 'History', 'Womens', 'Philosophy', 'Sociology']","3,86","27,029"
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"['Nonfiction', 'History', 'Politics', 'Philosophy', 'Essays', 'Audiobook', 'Political Science']","4,19","59,155"
The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,"['Nonfiction', 'Psychology', 'Mental Health', 'Self Help', 'Health', 'Parenting', 'Education']","4,48","7,469"
Moon Palace,Paul Auster,"['Fiction', 'American', 'Novels', 'Contemporary', 'Literature', 'The United States Of America', 'Classics']","3,98","23,775"
Plato: Complete Works,Plato,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Politics', 'Ancient', 'Greece']","4,37","10,888"
The Crimson Petal and the White,Michel Faber,"['Historical Fiction', 'Fiction', 'Historical', 'Victorian', 'Romance', 'British Literature', 'Adult']","3,88","42,584"
What Happened,Hillary Rodham Clinton,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'Audiobook', 'History', 'Feminism']","3,92","57,976"
A Son of the Circus,John Irving,"['Fiction', 'India', 'Literary Fiction', 'Novels', 'Contemporary', 'Literature', 'American']","3,65","20,103"
Hunger: A Memoir of (My) Body,Roxane Gay,"['Nonfiction', 'Memoir', 'Feminism', 'Audiobook', 'Biography', 'Biography Memoir', 'Mental Health']","4,18","103,707"
The Power and the Glory,Graham Greene,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Religion', 'Novels', 'Literary Fiction']","3,98","37,552"
The Sisters Brothers,Patrick deWitt,"['Fiction', 'Westerns', 'Historical Fiction', 'Historical', 'Canada', 'Humor', 'Adventure']","3,85","93,978"
"Past, Present, and Promises",Patricia H. Graham,['Fiction'],"4,02",42
"Father Forgive Us, for We Know Not What We Do",Helmut Glavar,"['Philosophy', 'Psychology', 'Nonfiction', 'Art', 'Anthropology', 'Classics']","4,13",89
But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman,"['Nonfiction', 'Philosophy', 'Essays', 'History', 'Science', 'Psychology', 'Audiobook']","3,66","16,517"
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength,C.S. Lewis,"['Fiction', 'Science Fiction', 'Fantasy', 'Classics', 'Christian', 'Christian Fiction', 'Science Fiction Fantasy']","4,16","10,49"
